,city,lat,temp_max,lon,humidity,clouds,wind,country,dt
273,mehamn,71.0357,10.95,27.8492,98,100,6.48,NO,1629380419
274,arman,59.7,12.02,150.1667,97,97,1.81,RU,1629380678
275,sarangani,5.4033,29.25,125.4636,67,95,3.42,PH,1629380447
276,rabo de peixe,37.8,24.73,-25.5833,78,40,5.14,PT,1629380678
277,ambatondrazaka,-17.8333,18.77,48.4167,86,100,1.86,MG,1629380679
278,mezen,65.8522,19.78,44.24,86,99,3.74,RU,1629380290
279,zhigalovo,54.8097,11.49,105.1578,78,13,1.23,RU,1629380679
280,ponta delgada,37.7333,25.4,-25.6667,78,40,5.14,PT,1629380680
281,mayo,38.8876,29.03,-76.5119,76,1,2.68,US,1629380266
282,banda aceh,5.5577,25.94,95.3222,78,100,3.62,ID,1629380468
283,orsk,51.2049,36.5,58.5668,12,0,4.0,RU,1629380680
284,kapuskasing,49.4169,21.05,-82.4331,88,75,2.06,CA,1629380681
285,varzea da palma,-17.5981,27.06,-44.7308,38,19,4.59,BR,1629380382
286,rio grande,-32.035,27.19,-52.0986,53,18,8.01,BR,1629380393
287,andrews,32.3187,23.69,-102.5457,100,1,3.09,US,1629380445
288,tucurui,-3.7661,33.83,-49.6725,32,0,1.82,BR,1629380681
289,severobaykalsk,55.65,11.38,109.3167,84,96,1.71,RU,1629380682
290,beira,-19.8436,27.05,34.8389,74,0,6.17,MZ,1629380682
291,swift current,50.2834,10.45,-107.8014,93,90,1.54,CA,1629380683
292,nueve de julio,-35.4444,12.7,-60.8831,75,100,9.09,AR,1629380683
293,fare,-16.7,24.48,-151.0167,73,100,11.04,PF,1629380684
294,inirida,3.8653,22.14,-67.9239,100,100,1.03,CO,1629380684
295,henties bay,-22.116,16.59,14.2845,75,0,7.22,NA,1629380460
296,santiago,-33.4569,9.69,-70.6483,100,75,1.03,CL,1629380339
297,adrar,20.5022,38.84,-10.0711,23,8,9.49,MR,1629380308
298,ancud,-41.8697,6.35,-73.8203,86,100,6.2,CL,1629380339
299,byron bay,-28.65,13.26,153.6167,80,6,1.75,AU,1629380685
300,vanderhoof,54.0166,10.69,-124.0198,89,80,2.28,CA,1629380390
301,bathsheba,13.2167,29.34,-59.5167,79,20,7.2,BB,1629380324
302,leshukonskoye,64.8989,19.6,45.7622,94,100,2.03,RU,1629380686
303,micheweni,-4.9667,26.34,39.8333,70,41,5.02,TZ,1629380486
304,sakete,6.7362,28.52,2.6587,80,100,2.33,BJ,1629380686
305,najran,17.4924,39.36,44.1277,10,28,5.61,SA,1629380687
306,qaqortoq,60.7167,11.28,-46.0333,96,100,1.98,GL,1629380478
307,bodden town,19.2833,29.44,-81.25,82,0,4.02,KY,1629380687
308,lasa,46.6166,25.57,10.7002,59,54,1.76,IT,1629380687
309,antofagasta,-23.65,14.6,-70.4,73,1,1.73,CL,1629380334
310,vicuna,-30.0319,9.85,-70.7081,46,100,1.48,CL,1629380576
311,port blair,11.6667,27.45,92.75,81,62,4.05,IN,1629380688
312,itacoatiara,-3.1431,32.88,-58.4442,46,96,2.11,BR,1629380688
313,port-gentil,-0.7193,25.98,8.7815,83,90,4.12,GA,1629380249
314,mackay,-21.15,18.99,149.2,88,75,3.6,AU,1629380441
315,itarema,-2.9248,31.41,-39.9167,42,9,6.41,BR,1629380429
316,chingola,-12.529,28.77,27.8838,16,0,1.65,ZM,1629380689
317,antsohihy,-14.8796,28.25,47.9875,52,91,0.44,MG,1629380689
318,requena,39.4883,27.51,-1.1004,35,0,4.16,ES,1629380690
319,san andres,12.5847,28.01,-81.7006,83,75,4.12,CO,1629380602
320,kenai,60.5544,8.41,-151.2583,100,20,0.0,US,1629380391
321,hope,33.6671,24.03,-93.5916,75,84,2.46,US,1629380628
322,begowal,31.6167,33.99,75.5167,58,11,2.51,IN,1629380690
323,dawson creek,55.7666,10.98,-120.2362,87,20,1.03,CA,1629380425
324,orlik,52.5178,10.33,99.825,73,50,0.85,RU,1629380691
325,judaberg,59.1659,17.27,5.8732,71,23,9.92,NO,1629380691
326,valparaiso,-33.0393,13.51,-71.6273,100,90,3.09,CL,1629380319
327,cap-aux-meules,47.3821,22.03,-61.8597,88,75,5.14,CA,1629380393
328,flinders,-34.5833,13.78,150.8552,81,100,0.89,AU,1629380475
329,zlate moravce,48.3855,24.42,18.4006,59,100,2.08,SK,1629380692
330,ystad,55.4297,21.64,13.8204,60,97,7.71,SE,1629380692
331,strezhevoy,60.7333,14.99,77.5889,63,95,3.19,RU,1629380693
332,siverek,37.755,34.34,39.3167,14,1,4.59,TR,1629380693
333,nieuwpoort,51.1244,20.57,2.7735,61,75,5.14,BE,1629380693
334,andenes,69.3143,13.04,16.1194,82,40,8.23,NO,1629380694
335,lavrentiya,65.5833,5.72,-171.0,86,100,4.26,RU,1629380279
336,dalbandin,28.8947,37.55,64.4101,7,35,6.81,PK,1629380676
337,sitka,57.0531,12.94,-135.33,88,90,2.06,US,1629379990
338,okha,53.5739,18.21,142.9478,84,100,2.64,RU,1629380695
339,galesburg,40.9478,25.57,-90.3712,86,1,0.0,US,1629380695
340,elko,41.0002,8.69,-115.5012,61,57,0.97,US,1629380600
341,hambantota,6.1241,31.19,81.1185,58,20,4.12,LK,1629380695
342,ailigandi,9.2333,27.06,-78.0167,83,100,1.31,PA,1629380696
343,nhulunbuy,-12.2333,24.34,136.7667,78,40,4.12,AU,1629380696
344,kuching,1.55,24.12,110.3333,94,40,0.0,MY,1629380696
345,cap malheureux,-19.9842,24.27,57.6142,57,1,3.13,MU,1629380537
346,kieta,-6.2167,26.16,155.6333,83,74,1.65,PG,1629380697
347,kerur,16.0167,24.62,75.5667,73,96,6.6,IN,1629380697
348,juneau,58.3019,12.34,-134.4197,98,90,0.0,US,1629380645
349,geraldton,-28.7667,14.23,114.6,88,40,4.12,AU,1629380495
350,nome,64.5011,7.31,-165.4064,93,90,5.66,US,1629380406
351,sulangan,11.1373,29.52,123.7228,68,99,1.71,PH,1629380700
352,afua,-0.1567,31.64,-50.3867,54,0,1.8,BR,1629380700
353,pucallpa,-8.3791,26.02,-74.5539,89,40,1.54,PE,1629380700
354,zemio,5.0314,27.36,25.1361,62,97,2.87,CF,1629380701
355,yeppoon,-23.1333,18.88,150.7333,83,98,5.46,AU,1629380701
