,city,lat,temp_max,lon,humidity,clouds,wind,country,dt
367,alassio,44.0039,29.12,8.1671,60,20,3.09,IT,1629380712
368,moussoro,13.6408,27.35,16.4901,60,100,5.88,TD,1629380314
369,bonavista,48.6499,26.0,-53.1147,70,36,5.89,CA,1629380358
370,moron,-34.6534,13.3,-58.6198,99,90,3.13,AR,1629380621
371,san quintin,30.4833,21.65,-115.95,75,89,1.82,MX,1629380265
372,westport,41.1415,26.9,-73.3579,94,90,0.89,US,1629380540
373,cabinda,-5.55,27.08,12.2,65,20,3.09,AO,1629380714
374,susanville,40.4163,8.38,-120.653,61,1,2.57,US,1629380547
375,berlevag,70.8578,10.97,29.0864,87,75,3.6,NO,1629380497
376,brae,60.3964,12.95,-1.353,70,93,6.03,GB,1629380715
377,krasnyy chikoy,50.3643,11.19,108.7512,87,9,1.96,RU,1629380436
378,shache,38.4167,28.63,77.2406,11,0,2.68,CN,1629380715
379,grindavik,63.8424,13.97,-22.4338,88,90,5.14,IS,1629380425
380,ponta do sol,32.6667,29.28,-17.1,66,0,1.27,PT,1629380256
381,biloela,-24.4167,15.28,150.5,78,72,2.45,AU,1629380716
382,kenora,49.8167,23.66,-94.4337,78,75,4.63,CA,1629380716
383,luanda,-8.8368,24.0,13.2343,83,75,3.09,AO,1629380683
384,chegutu,-18.1302,28.88,30.1407,14,0,0.62,ZW,1629380717
385,abnub,27.2696,37.83,31.1511,12,0,8.23,EG,1629380489
386,srednekolymsk,67.45,11.43,153.6833,67,76,0.91,RU,1629380246
387,naantali,60.4674,15.23,22.0243,88,90,7.72,FI,1629380717
388,ereymentau,51.6199,21.09,73.1033,40,51,3.31,KZ,1629380718
389,sudogda,55.9539,28.56,40.8629,46,94,2.44,RU,1629380718
390,chicama,-7.8447,15.3,-79.1469,77,53,2.94,PE,1629380349
391,pasni,25.2631,26.42,63.471,82,0,10.56,PK,1629380663
392,magnolia,33.2671,23.59,-93.2393,94,99,2.69,US,1629380719
393,leningradskiy,69.3833,5.13,178.4167,67,85,2.42,RU,1629380273
394,morondava,-20.2833,24.95,44.2833,62,0,4.85,MG,1629380427
395,christchurch,-43.5333,10.11,172.6333,59,7,2.57,NZ,1629380438
396,piacabucu,-10.4056,24.04,-36.4344,84,97,7.01,BR,1629380720
397,stykkisholmur,65.0757,13.71,-22.7297,78,100,0.4,IS,1629380720
398,plettenberg bay,-34.0527,12.85,23.3716,65,100,1.2,ZA,1629380505
399,dalvik,65.9702,12.96,-18.5286,85,97,2.76,IS,1629380721
400,marawi,7.9986,19.8,124.2928,93,24,0.9,PH,1629380349
401,bull savanna,17.8868,26.04,-77.5902,72,100,1.57,JM,1629380721
402,egvekinot,66.3167,3.03,-179.1667,84,49,0.38,RU,1629380722
403,cabedelo,-6.9811,25.37,-34.8339,74,63,7.72,BR,1629380722
404,maryville,35.7565,24.53,-83.9705,98,90,2.57,US,1629380723
405,manoel urbano,-8.8389,32.88,-69.2597,35,0,0.51,BR,1629380452
406,mogadishu,2.0371,25.66,45.3438,83,54,10.15,SO,1629380593
407,kidal,18.4411,38.68,1.4078,23,23,3.61,ML,1629380723
408,lodwar,3.1191,34.77,35.5973,25,1,2.89,KE,1629380724
409,waipawa,-41.4122,11.13,175.5153,78,1,5.19,NZ,1629380322
410,amot,59.5714,20.28,7.9877,38,39,4.34,NO,1629380724
411,san carlos de bariloche,-41.1456,1.86,-71.3082,93,75,2.06,AR,1629380725
412,healesville,-37.65,11.74,145.5167,79,30,1.79,AU,1629380725
413,bosaso,11.2842,33.2,49.1816,49,54,3.15,SO,1629380726
414,lahaina,20.8783,24.86,-156.6825,77,9,2.77,US,1629380726
415,castelfidardo,43.4632,28.13,13.5452,33,0,5.07,IT,1629380726
416,gat,31.61,32.44,34.7642,40,0,5.57,IL,1629380482
417,belmonte,-15.8631,25.28,-38.8828,67,86,5.01,BR,1629380727
418,aklavik,68.2191,6.0,-135.0107,100,90,1.03,CA,1629380521
419,solenzo,12.1833,29.08,-4.0833,57,86,3.03,BF,1629380728
420,southampton,50.904,22.11,-1.4043,81,75,0.45,GB,1629380728
421,skowhegan,44.7651,25.21,-69.7192,100,100,0.56,US,1629380728
422,hit,33.6416,40.96,42.8251,11,0,3.86,IQ,1629380729
423,madimba,-10.4,31.62,40.3333,37,20,8.23,TZ,1629380729
424,bengkulu,-3.8004,24.54,102.2655,88,93,1.17,ID,1629380729
425,yarega,63.4354,25.6,53.5765,50,74,3.5,RU,1629380730
426,artyom,40.4723,32.08,50.333,48,7,3.21,AZ,1629380730
427,vestmannaeyjar,63.4427,11.55,-20.2734,87,90,5.66,IS,1629380248
428,margate,51.3813,21.77,1.3862,58,92,2.01,GB,1629380452
429,marsa matruh,31.3525,30.11,27.2453,70,40,6.17,EG,1629380731
430,ostersund,63.1792,11.25,14.6357,82,75,13.89,SE,1629380535
431,kralendijk,12.15,29.99,-68.2667,70,20,6.17,BQ,1629380731
432,bereda,43.2686,21.6,-7.5406,42,23,2.67,ES,1629380732
433,itoman,26.1247,27.21,127.6694,92,40,3.6,JP,1629380732
434,aksu,41.1231,29.01,80.2644,18,10,2.68,CN,1629380351
435,chiredzi,-21.05,34.86,31.6667,11,0,2.79,ZW,1629380732
436,broome,42.2506,23.03,-75.833,89,90,0.45,US,1629380509
437,ayagoz,47.9714,22.22,80.4392,37,15,5.06,KZ,1629380733
438,maunabo,18.0072,30.39,-65.8993,91,97,6.47,PR,1629380733
439,durgapur,23.4833,28.03,87.3167,81,96,5.32,IN,1629380479
440,lima,-12.0432,16.06,-77.0282,90,90,4.12,PE,1629380707
441,bandarbeyla,9.4942,27.41,50.8122,63,13,13.41,SO,1629380734
442,altus,34.6381,24.73,-99.334,94,90,3.09,US,1629380734
443,mount gambier,-37.8333,13.95,140.7667,54,90,5.66,AU,1629380238
444,kiama,-34.6833,13.89,150.8667,81,100,2.44,AU,1629380503
445,tabuk,17.4189,24.65,121.4443,91,100,2.01,PH,1629380735
446,halmstad,56.6745,18.5,12.8568,65,40,7.72,SE,1629380735
447,east millcreek,40.7,14.49,-111.8105,91,90,3.09,US,1629380637
448,krasnoselkup,65.7,7.76,82.4667,76,96,4.98,RU,1629380736
449,suksun,57.1431,29.1,57.3949,40,54,2.32,RU,1629380736
450,vanimo,-2.6741,25.95,141.3028,86,62,2.47,PG,1629380540
451,ulaanbaatar,47.9077,11.07,106.8832,66,20,1.0,MN,1629380737
452,muros,42.7762,24.91,-9.0603,56,85,6.22,ES,1629380300
453,sept-iles,50.2001,25.7,-66.3821,66,90,0.89,CA,1629380737
454,denpasar,-8.65,26.81,115.2167,89,40,4.12,ID,1629380508
455,havre-saint-pierre,50.2334,19.2,-63.5986,82,1,3.6,CA,1629380521
456,svetlaya,46.5389,18.75,138.3297,78,0,2.15,RU,1629380739
457,chiscas,6.5524,17.03,-72.4998,81,98,1.32,CO,1629380739
458,newport,51.5877,22.94,-2.9984,80,57,6.73,GB,1629380127
459,olinda,-8.0089,24.85,-34.8553,78,75,7.72,BR,1629380439
460,poronaysk,49.2167,14.41,143.1167,96,13,0.98,RU,1629380740
461,tigil,57.8,12.57,158.6667,97,100,4.08,RU,1629380740
462,fort nelson,58.8053,8.77,-122.7002,93,75,1.03,CA,1629380379
463,sihora,23.4833,25.63,80.1167,91,100,2.8,IN,1629380740
464,bom jesus,-9.0744,31.56,-44.3586,24,65,4.65,BR,1629380741
465,riyadh,24.6877,40.08,46.7219,8,0,1.1,SA,1629380650
466,farmington,36.7281,17.1,-108.2187,86,75,3.6,US,1629380742
467,ranong,9.9658,26.96,98.6348,83,100,2.66,TH,1629380742
468,sao felix do xingu,-6.6447,33.71,-51.995,20,5,2.8,BR,1629380527
469,temerloh,3.4483,24.23,102.4176,88,100,0.46,MY,1629380742
470,iskateley,67.6803,17.63,53.1512,96,100,3.33,RU,1629380532
471,pringsewu,-5.3582,23.92,104.9744,89,100,3.18,ID,1629380743
472,mokhotlong,-29.2894,9.86,29.0675,30,0,8.14,LS,1629380743
473,buala,-8.145,26.68,159.5921,82,8,2.38,SB,1629380744
474,ostrovnoy,68.0531,18.51,39.5131,62,83,7.12,RU,1629380262
475,roald,62.5833,14.51,6.1333,76,75,5.14,NO,1629380252
476,kontagora,10.3999,24.06,5.4695,89,100,1.72,NG,1629380744
477,tezu,27.9167,24.2,96.1667,100,100,0.63,IN,1629380745
478,turtas,58.9417,18.38,69.1325,80,96,2.1,RU,1629380745
479,piranhas,-16.4269,32.04,-51.8222,18,0,5.11,BR,1629380746
480,iquique,-20.2208,16.02,-70.1431,69,1,1.25,CL,1629380746
481,lagoa,39.05,22.6,-27.9833,86,100,5.76,PT,1629380545
482,lebedinyy,58.5167,13.89,125.5167,92,100,2.77,RU,1629380746
483,lulea,65.5842,16.04,22.1547,82,40,4.63,SE,1629380747
484,saint-andre-avellin,45.7168,22.16,-75.066,90,100,1.95,CA,1629380747
485,salalah,17.0151,26.05,54.0924,89,90,5.14,OM,1629380514
486,concepcion del oro,24.6333,18.33,-101.4167,64,4,2.2,MX,1629380748
487,quelimane,-17.8786,31.97,36.8883,43,20,6.17,MZ,1629380748
488,imeni poliny osipenko,52.4201,18.25,136.4853,83,10,2.72,RU,1629380749
489,tebingtinggi,3.3285,25.03,99.1625,94,100,1.59,ID,1629380749
490,oktyabrskiy,54.4815,35.87,53.471,16,9,2.25,RU,1629380535
491,esperance,-33.8667,12.91,121.9,87,100,5.11,AU,1629380327
492,bushehr,28.9684,37.05,50.8385,41,0,6.17,IR,1629380750
493,ginda,30.6945,19.7,78.4932,97,100,0.05,IN,1629380537
494,tsnori,41.6209,33.58,45.9694,17,4,5.78,GE,1629380751
495,rundu,-17.9333,32.55,19.7667,7,0,1.8,NA,1629380751
496,jumla,29.2747,17.77,82.1838,99,100,0.65,NP,1629380752
497,anloga,5.7947,29.12,0.8973,74,100,1.44,GH,1629380446
498,alofi,-19.0595,18.94,-169.9187,100,18,0.51,NU,1629380316
499,calderitas,18.55,24.16,-88.25,89,100,4.83,MX,1629380752
500,pangai,-19.8,24.65,-174.35,83,0,4.0,TO,1629380753
501,winston-salem,36.0999,28.84,-80.2442,75,1,0.0,US,1629380527
502,nagahama,35.3833,23.71,136.2667,100,100,2.22,JP,1629380753
503,irricana,51.3237,13.58,-113.6048,83,100,2.82,CA,1629380754
504,klaksvik,62.2266,10.51,-6.589,76,100,4.95,FO,1629380312
505,ranot,7.7777,26.2,100.3213,82,100,4.65,TH,1629380754
506,aguimes,27.9054,29.35,-15.4461,40,0,10.8,ES,1629380755
507,akdepe,42.0551,36.05,59.3788,13,0,6.02,TM,1629380755
508,sao filipe,14.8961,25.45,-24.4956,86,80,2.19,CV,1629380755
509,gorin,51.1983,18.33,136.6669,83,23,1.98,RU,1629380756
510,camopi,3.1655,29.76,-52.3158,62,34,1.8,GF,1629380756
511,broken hill,-31.95,11.84,141.4333,37,14,2.57,AU,1629380298
512,douglas,41.3,24.22,-96.167,93,90,0.89,US,1629380592
513,karatau,43.1667,28.82,70.4667,22,0,8.41,KZ,1629380757
514,klichka,50.4457,12.32,117.996,95,100,2.33,RU,1629380757
515,chifeng,42.2683,17.93,118.9636,92,100,2.26,CN,1629380758
516,coquimbo,-29.9533,13.85,-71.3436,94,75,1.03,CL,1629380552
517,jardim,-21.4803,32.84,-56.1381,19,0,5.49,BR,1629380758
518,hovd,48.0056,15.34,91.6419,67,95,2.43,MN,1629380355
519,clarence town,-32.5833,14.75,151.7833,80,45,1.18,AU,1629380531
520,nyurba,63.2842,12.55,118.3319,90,100,0.87,RU,1629380485
521,ouahigouya,13.5828,32.46,-2.4216,46,32,3.81,BF,1629380759
522,kathmandu,27.7167,23.12,85.3167,88,75,1.54,NP,1629380475
523,taltal,-25.4,18.15,-70.4833,58,81,0.32,CL,1629380759
524,oussouye,12.485,27.1,-16.5469,88,100,6.16,SN,1629380760
525,necochea,-38.5473,10.58,-58.7368,84,100,7.49,AR,1629380277
526,san lazaro,18.0387,25.84,-88.6622,83,100,2.7,BZ,1629380761
527,richards bay,-28.783,20.4,32.0377,68,40,4.74,ZA,1629380239
528,chengde,40.9725,17.81,117.9361,99,100,0.52,CN,1629380761
529,kaeo,-35.1,7.96,173.7833,94,39,1.66,NZ,1629380761
530,dillon,34.4166,30.11,-79.3712,64,32,1.46,US,1629380357
531,yeniseysk,58.4497,12.66,92.1703,95,37,3.32,RU,1629380762
532,lorengau,-2.0226,27.73,147.2712,70,100,1.62,PG,1629380289
533,maloy,61.9353,15.26,5.1136,80,98,4.24,NO,1629380762
534,kemijarvi,66.7131,13.13,27.4306,92,100,3.31,FI,1629380763
535,sinjai,-5.1241,23.95,120.253,89,100,1.25,ID,1629380763
536,benjamin constant,-4.3831,27.07,-70.0311,83,0,2.06,BR,1629380764
537,mazagao,-0.115,32.03,-51.2894,50,5,1.78,BR,1629380764
538,torbay,47.6666,24.38,-52.7314,72,75,7.72,CA,1629380130
539,mushie,-3.0167,30.44,16.9,46,100,2.81,CD,1629380764
540,taoudenni,22.6783,43.25,-3.9836,15,45,1.41,ML,1629380302
541,oga,46.4631,21.47,10.347,57,58,3.08,IT,1629380765
542,alice springs,-23.7,10.75,133.8833,28,0,0.51,AU,1629380282
543,port lincoln,-34.7333,14.76,135.8667,84,9,8.6,AU,1629380242
544,yelizovo,53.1873,16.08,158.3805,82,75,4.0,RU,1629380765
545,itarantim,-15.6597,27.17,-40.0656,40,81,4.57,BR,1629380766
546,bilma,18.6853,41.74,12.9164,10,72,4.16,NE,1629380766
547,hokitika,-42.7167,9.49,170.9667,86,74,3.8,NZ,1629380767
548,bharatpur,27.2167,32.45,77.4833,57,98,4.75,IN,1629380767
549,luancheng,37.8792,20.09,114.6517,98,100,3.44,CN,1629380767
550,kuragino,53.8975,15.92,92.6725,89,100,1.83,RU,1629380768
551,aguas verdes,-3.4814,20.95,-80.245,82,100,1.54,PE,1629380768
552,shitanjing,39.2342,25.38,106.3439,27,9,3.81,CN,1629380769
553,llanes,43.4198,20.57,-4.7549,75,13,4.3,ES,1629380769
554,saint-augustin,51.226,28.69,-58.6502,46,0,4.85,CA,1629380338
555,maracaju,-21.6144,33.92,-55.1683,18,0,8.27,BR,1629380770
556,dargaville,-35.9333,10.77,173.8833,77,73,3.28,NZ,1629380770
557,horodkivka,49.9068,23.35,28.9847,34,26,4.59,UA,1629380770
558,ihosy,-22.4,26.39,46.1167,25,0,2.35,MG,1629380771
559,kloulklubed,7.0419,25.28,134.2556,68,82,2.17,PW,1629380771
560,hamilton,39.1834,23.53,-84.5333,95,90,0.0,US,1629380104
561,perdoes,-21.0908,26.08,-45.0914,36,0,2.27,BR,1629380772
562,petropavlovsk-kamchatskiy,53.0452,15.33,158.6483,82,75,4.0,RU,1629380772
563,choma,-16.8065,29.0,26.9531,11,0,2.19,ZM,1629380773
564,taitung,22.7583,26.93,121.1444,85,98,1.1,TW,1629380773
565,daru,-9.0763,24.97,143.2092,88,77,7.45,PG,1629380483
566,pathein,16.7833,26.21,94.7333,87,90,2.54,MM,1629380773
567,aquiraz,-3.9014,29.05,-38.3911,48,27,6.61,BR,1629380520
568,hofn,64.2539,12.01,-15.2082,87,75,2.57,IS,1629380336
569,fukue,32.6881,25.71,128.8419,79,3,2.87,JP,1629380774
570,malakal,9.5334,28.81,31.6605,70,80,1.8,SS,1629380774
571,caraballeda,10.6112,30.76,-66.8522,62,37,3.09,VE,1629380775
572,yulara,-25.2406,12.91,130.9889,26,0,0.0,AU,1629380310
573,abatskoye,56.2875,20.9,70.4555,55,95,2.14,RU,1629380775
574,santa maria da vitoria,-13.3947,27.78,-44.1886,38,72,4.53,BR,1629380776
575,marsh harbour,26.5412,28.15,-77.0636,68,68,3.25,BS,1629380130
